,Total Return,Annualized Return,Sharpe Ratio,Max Drawdown
Strategy (Monthly Rebalance),0.11483314526936117,0.11111052341610961,1.7453070106921769,-0.04685173761121986
Strategy (Buy & Hold),0.11795181156922396,0.11412300787662466,1.7259639881444597,-0.04986126954230663
Benchmark (60/40 SPY/BND),0.14076149562453755,0.13614827194023005,1.7279437595568405,-0.05689999639089183
